questionId,externalId,topic,subtopic,difficulty
f1bfbed3,52a8f1cb-bff4-4dcb-b455-fbc202e8513c,Information and Ideas,Inferences,H
87aa7bab,c41ebd08-a19c-44e2-a621-3e50ac34dcd2,Information and Ideas,Central Ideas and Details,M
d73a908a,30511484-9757-45d7-958f-cf06ed690b94,Information and Ideas,Central Ideas and Details,M
d748c3fd,34993994-d6c5-4708-a99e-263ff6b8b604,Information and Ideas,Inferences,M
6b8a7c74,8555f0c4-2d61-4e72-8296-f46b4e8cad27,Information and Ideas,Inferences,H
a15b3219,40e7dbe5-a37f-471d-bf2a-66c7e950d5d3,Information and Ideas,Command of Evidence,H
ed314256,9143317f-29a7-4559-930f-3895f4457c7d,Information and Ideas,Central Ideas and Details,H
8c1be131,eddf2dbd-c0cb-4ca1-bea8-c6e522b4c743,Information and Ideas,Central Ideas and Details,M
92c2564d,e5ffa0e4-1fea-42ae-b997-44eed4a8e733,Information and Ideas,Central Ideas and Details,M
22e4d633,c4d80f10-e0f8-4466-bc5a-e45343eceed5,Information and Ideas,Command of Evidence,M
458b4a11,0ab248c5-2e6c-4eb5-adb7-eec1beae9ae8,Information and Ideas,Central Ideas and Details,H
0d7f4966,a34fe949-4c0c-463d-a566-a28ea8069426,Information and Ideas,Command of Evidence,H
3543e6e2,8f3764da-9e5e-4406-8b84-4c3a91358727,Information and Ideas,Central Ideas and Details,E
75e07a4d,38d454cc-7da0-46c5-8fa3-9f57526c1baa,Information and Ideas,Command of Evidence,E
1ba5ad7a,0d14ed05-7101-4b7c-9ad8-f817a8ee4705,Information and Ideas,Central Ideas and Details,H
602b47c7,8867acef-9776-4099-b6bc-f5059e8a9574,Information and Ideas,Central Ideas and Details,M
068f939b,c776357f-bef8-451f-ad4f-fcec70402ee7,Information and Ideas,Command of Evidence,H
702eb7e3,71c4f33b-5e73-413d-bea3-14225980d694,Information and Ideas,Command of Evidence,H
29f5c8c2,b4fd3c61-604e-4f87-b027-41ddf01d205a,Information and Ideas,Command of Evidence,M
1281dfd5,a9859e96-a39d-4207-8cdb-6fb0ee8d8a98,Information and Ideas,Command of Evidence,H
d83c3d54,55af0cb2-1f16-4184-a04f-f39d41958743,Information and Ideas,Command of Evidence,M
ca5a3fb4,06e692f1-c804-4303-9a38-5f28ac4dcf65,Information and Ideas,Inferences,M
98d0a5d7,76c41880-b3cd-4f49-86f6-2e9fb2b14aa9,Information and Ideas,Command of Evidence,H
cf956802,0a755181-a4cc-4396-b977-da1608faf80f,Information and Ideas,Central Ideas and Details,E
95388117,d7a2ff8d-862e-4818-9266-5024deded2c9,Information and Ideas,Command of Evidence,M
403fb4e4,69ccacae-98b0-4823-a0df-dbc2f84a63fa,Information and Ideas,Command of Evidence,H
3091f805,8c905e66-b3bd-4010-973a-d51abc4a9009,Information and Ideas,Command of Evidence,E
94c54577,a834b9d5-442c-4133-b51b-b1e6ce7c584c,Information and Ideas,Command of Evidence,H
ce4448b7,90ef6bd8-7392-493a-a95b-f10670d19fa1,Information and Ideas,Inferences,H
0147b080,3a3cd377-09e1-421d-b264-2e6d5797db0a,Information and Ideas,Command of Evidence,E
60c6b64d,c26900f9-e2f8-4720-8940-4d2f422a2ee6,Information and Ideas,Command of Evidence,M
1f3be847,323d585c-ed72-4482-a6e7-60adf99b2849,Information and Ideas,Command of Evidence,M
714e4c10,b07b52e9-c1ee-4177-bce8-9a5b35a6f12f,Information and Ideas,Central Ideas and Details,E
040583a5,d1d0c33d-ec34-4d8a-b2d4-4b8262f22cbc,Information and Ideas,Command of Evidence,H
7a1877be,ba4a8107-8550-4238-845f-7a2765946381,Information and Ideas,Command of Evidence,H
11a9f635,938fef9c-6c98-458a-8ce2-236a09a80f22,Information and Ideas,Central Ideas and Details,M
2312021b,e830f97b-2162-4328-ad6d-23a86bafcd98,Information and Ideas,Central Ideas and Details,M
57485f5e,d490e4a5-bf54-48b3-a21c-27e521f53d3c,Information and Ideas,Central Ideas and Details,E
a68fd3e7,5d3bc6fb-4e59-4560-84e5-1d9cf789f62a,Information and Ideas,Inferences,H
e677fa6c,90758981-860d-4a7d-a2eb-6720666df2eb,Information and Ideas,Central Ideas and Details,M
bc7b1a04,de7f8b22-30e6-43b1-ad24-4b6f6f7e025f,Information and Ideas,Command of Evidence,H
3d91c973,f445072c-007e-485c-a469-b2b4bee641b3,Information and Ideas,Command of Evidence,H
11c68ded,30c2d8b8-5292-4af7-b701-0109496da1a5,Information and Ideas,Central Ideas and Details,M
7cbb9764,b490fb1f-94cb-4ac3-ab42-e46a37a27827,Information and Ideas,Command of Evidence,M
4b3d6062,6bc7928c-513a-4331-9eeb-9dc97afdf1c7,Information and Ideas,Inferences,H
94ca8ebd,29d48243-c6fc-4b86-8b87-c1087174f7eb,Information and Ideas,Command of Evidence,M
66c47028,6bf1a887-da03-4cdf-b053-cc4a2e176641,Information and Ideas,Central Ideas and Details,M
0770b53d,a362b6b6-1fae-4fcc-a097-241ddb0addd2,Information and Ideas,Command of Evidence,E
58e9e497,6cab30c3-74f3-4b95-8bbc-00892bfbb3c0,Information and Ideas,Inferences,H
1a2b29c9,fdc309fb-203f-4eb0-ab14-ce679c48449c,Information and Ideas,Central Ideas and Details,H
71904085,65d3f00d-f48c-4518-88b0-b5d58cbe4cf9,Information and Ideas,Command of Evidence,H
3190835d,06476963-3fd5-40fe-8c6a-77a4b0609df1,Information and Ideas,Inferences,M
04cbeca3,95a5360b-3135-4780-921f-c511f0ae2578,Information and Ideas,Command of Evidence,H
3dc911d6,39a8034d-d0e3-48ee-927f-42e9f97a54d9,Information and Ideas,Command of Evidence,E
1755eaf0,e80ca61c-04c7-47b6-bd75-6c70364e1508,Information and Ideas,Inferences,H
d5b9ed0d,0f42ebb1-ab1a-4389-9ce6-727db51e5379,Information and Ideas,Command of Evidence,M
2fdfe002,2feba5ee-68da-40e5-9ac9-a2d6595ea46b,Information and Ideas,Central Ideas and Details,H
6a6bbac3,15e61784-d141-4360-95ad-6de4a72b0a0d,Information and Ideas,Command of Evidence,H
6f626ae5,8f0c9a99-086b-4120-9d4c-96146f022bdc,Information and Ideas,Command of Evidence,E
ccb1ab92,e5fb236a-b834-4e49-866c-248c223f4d16,Information and Ideas,Command of Evidence,H
0d81b7d9,b280ba71-e914-4119-8335-a7c8eb92768c,Information and Ideas,Central Ideas and Details,M
be19faa1,7ba4dc16-ed92-4253-b979-eafdfe5400f2,Information and Ideas,Command of Evidence,H
645fd11a,e106d6c6-3728-41aa-983d-844c3f37d99e,Information and Ideas,Command of Evidence,H
85439572,4d6080a5-d5cb-4a7b-8d36-e063d820a389,Information and Ideas,Command of Evidence,E
356ad646,4722224d-0bd7-4a50-ae64-0069b6abcafc,Information and Ideas,Command of Evidence,M
701126bc,9881a760-f884-4181-a7f8-4ee2b2cb39a3,Information and Ideas,Central Ideas and Details,H
c83e0b43,3d1f1c40-4ed9-4ae6-9d5c-55bbe74e0b51,Information and Ideas,Command of Evidence,H
6177abc5,a9165713-4da8-48bf-91b0-7def09cee451,Information and Ideas,Command of Evidence,E
a9040290,2b5d289b-aa4a-455f-9d3c-3fb0079cac56,Information and Ideas,Command of Evidence,E
bc1b8a42,738bb8cf-0cb8-43fe-8790-a8d9e93bfa3a,Information and Ideas,Command of Evidence,E
ac285054,a63e4700-e95a-4a33-82f6-4f46c42d023e,Information and Ideas,Inferences,H
01989d77,6b5f6281-c186-4b8e-b5b1-e480cda187ec,Information and Ideas,Inferences,E
a13541c0,130d0a84-b1b0-4f4b-9201-cd5cc26e4514,Information and Ideas,Command of Evidence,M
8a8236e1,c64a25c2-99cd-485d-b5c7-8c0aa9f6ce6f,Information and Ideas,Central Ideas and Details,E
7c1e5880,8cfcf0a4-fcdd-4de7-8cb5-5b319becb374,Information and Ideas,Inferences,M
dd1757fd,c4cfbca4-fcc1-4015-a43f-bc8038fe1c6c,Information and Ideas,Command of Evidence,H
15873d14,1db8b470-79f4-47ec-bf07-93ba736045d0,Information and Ideas,Command of Evidence,M
b38935ab,0bc13525-918a-411b-bc8f-148fe9e12317,Information and Ideas,Central Ideas and Details,M
8a584241,15e0f8c2-ed39-4583-83cc-73e2fa6eacfe,Information and Ideas,Command of Evidence,M
dd72993d,a0624880-0cff-4f54-93c7-0ee67780fa3a,Information and Ideas,Command of Evidence,M
4603d1f7,1a6b528a-47fc-448b-a67f-fc8bcd1e3fda,Information and Ideas,Inferences,E
6df33868,cc8be552-4528-4487-9a80-6ef3a7490aff,Information and Ideas,Command of Evidence,E
086dd8cc,350515f3-0f56-40e1-b5ce-af122f093fe5,Information and Ideas,Inferences,H
e185a21f,f4fbe202-2064-4bd6-a736-c5c55b1d4616,Information and Ideas,Inferences,H
20000f5f,b49acf29-946e-4d3e-a1a3-b112ff5cc23e,Information and Ideas,Inferences,E
64cd7321,a46a3369-477e-4477-972e-bc12eb5e84d2,Information and Ideas,Command of Evidence,H
25176ff8,6b3e8eca-0f31-4ddc-ad58-4525b647b622,Information and Ideas,Command of Evidence,M
67b59a67,29e2e0fc-8844-490c-85f3-24338f917e2a,Information and Ideas,Command of Evidence,M
c228bd45,e6590d5e-2b45-4887-b784-5c8601dc008e,Information and Ideas,Central Ideas and Details,E
7edfb2c5,67f3df86-c0f1-4965-9d9a-8231d5f82b95,Information and Ideas,Command of Evidence,M
0c622cfb,a7544373-0f0e-48ad-bf64-b636aa0c867e,Information and Ideas,Command of Evidence,M
5fb6ed10,cc73e080-d46d-40ae-bbf6-e9801e577c1a,Information and Ideas,Command of Evidence,M
f452410b,3b249e65-a66a-456e-8e49-c4382ffdef99,Information and Ideas,Command of Evidence,E
a16128e2,738288ff-e395-4313-835d-9e9447a865b5,Information and Ideas,Command of Evidence,H
9731a22b,4cdeef3b-c252-41b9-b816-e4e258e8d8e4,Information and Ideas,Central Ideas and Details,H
0cf13ece,f430010d-dd34-405f-b7a8-b70d74e17b0e,Information and Ideas,Command of Evidence,E
db876fd5,6e778f51-5735-405e-8ddc-4fd8196cd087,Information and Ideas,Inferences,M
09f9edb0,35e63faf-cd1e-42e6-b544-7bf3b48941eb,Information and Ideas,Command of Evidence,H
da438257,9a5b800c-9469-4023-8098-70ef352fd380,Information and Ideas,Command of Evidence,H
f39507a3,03463f37-4904-4865-bb31-d326c1dd67e8,Information and Ideas,Inferences,H
5325b3cc,50a97041-1bb7-41a5-ad91-9edb332c7d6b,Information and Ideas,Central Ideas and Details,M
6bc0e595,83317e04-9b65-4e2e-81f4-ff77cf641a23,Information and Ideas,Inferences,E
70aacc03,c62128d3-85ec-4b5a-8f7e-cedfc5850c29,Information and Ideas,Central Ideas and Details,H
0fc0a773,17913995-980e-42ce-a499-437d004e0abb,Information and Ideas,Command of Evidence,E
57303718,a358f59f-7a4a-4af5-a2a8-37a11ebbbec3,Information and Ideas,Command of Evidence,M
c538954d,53727c14-2e6d-4c01-a008-3dcf1597f23d,Information and Ideas,Command of Evidence,M
f8244f7c,58d50e12-1f6b-47db-a28d-eea68a044b02,Information and Ideas,Command of Evidence,M
9debe79a,39c4e289-072b-454d-a5ae-fff58010b299,Information and Ideas,Command of Evidence,E
0a77c362,763708b4-8126-4bc6-9720-cce524db89ed,Information and Ideas,Command of Evidence,E
f9bd4e61,74524b04-95ed-45c5-be93-30cc8f3484d1,Information and Ideas,Inferences,H
82d2436a,3a04d20b-5096-450a-b14c-b8e956fd9b8c,Information and Ideas,Central Ideas and Details,E
f7bd14de,3bfe8f14-8d16-47a6-ac4c-e7ddb1572611,Information and Ideas,Central Ideas and Details,H
baef99a5,03508ded-7e44-467a-b16b-93608113408c,Information and Ideas,Central Ideas and Details,E
