questionId,externalId,topic,subtopic,difficulty
ac472881,ad6cdfd4-4643-45b2-b72d-0602fb30ce1c,Algebra,Linear equations in one variable,H
3f5a3602,c240c048-e272-462b-b645-1751de050cdd,Algebra,Systems of two linear equations in two variables,H
3d1070c9,f1332d3b-a308-4640-95e0-cae936826d8d,Algebra,Linear functions,E
002dba45,65ac5dc5-af25-4ecf-8562-a346047750a6,Algebra,Linear equations in two variables,M
edc1b7b7,d384e4e9-870d-4026-ba15-b7eb23e0c5fc,Algebra,Systems of two linear equations in two variables,H
f224df07,022222-DC,Algebra,Linear inequalities in one or two variables,M
fa80893a,ad73f33e-e2f7-442f-9463-281f925a0111,Algebra,Linear equations in one variable,E
bd9eb2b5,bfbc2147-51fa-4780-a273-d0cf88011d1c,Algebra,Linear functions,E
1480dd5c,0478e0b5-4347-4ca3-81d3-9d8f3d89e005,Algebra,Linear functions,E
3008cfc3,83c4d031-e8f1-4415-8c6c-33d11d65e85b,Algebra,Linear equations in two variables,H
0d6ab461,df1e58e8-b763-42a1-a3e2-b70a4bac09d5,Algebra,Linear functions,E
4becad44,031d354d-96ee-46e5-b453-c0be0ad459d5,Algebra,Systems of two linear equations in two variables,H
d1b66ae6,070615-DC,Algebra,Systems of two linear equations in two variables,H
cb8f449f,10551-DC,Algebra,Systems of two linear equations in two variables,M
3409707e,67838907-7e84-4f9a-bb16-0c54fe5e5232,Algebra,Systems of two linear equations in two variables,E
520c8177,31182667-4cd9-4dea-af99-85f88f84bfa1,Algebra,Linear functions,E
88e13c8c,07aee0d5-9ae6-4612-bbac-cad96d3eb3dd,Algebra,Linear functions,E
744ee7d7,958773bf-26fe-4198-be5a-f4626cd9abdb,Algebra,Linear inequalities in one or two variables,E
3cdbf026,029556-DC,Algebra,Linear equations in two variables,H
00723d16,2b8c0dff-e373-422a-a150-3f281e461330,Algebra,Linear equations in two variables,H
ff501705,5c09d547-9da9-4b9a-a436-ddc8c0c70764,Algebra,Systems of two linear equations in two variables,H
8c5e6702,1a8089dd-7f49-40bb-9cf4-9d9040daa84f,Algebra,Linear functions,H
2937ef4f,05397-DC,Algebra,Linear equations in one variable,H
548a4929,77e2c729-a66a-47de-9258-130399ad202e,Algebra,Linear functions,M
0adbe034,85789084-6a50-4310-ae89-d2067332bac0,Algebra,Linear equations in one variable,E
9bbce683,7e535b93-6192-4963-87af-547e39bbdfcf,Algebra,Linear equations in two variables,H
2b15d65f,025812-DC,Algebra,Linear functions,H
e25f0807,b09c918e-97c2-4a8b-9406-9ed217790fb4,Algebra,Linear functions,H
686b7244,d4043654-05ea-4067-80ff-0c1687134c44,Algebra,Linear equations in two variables,H
b86123af,08086-DC,Algebra,Systems of two linear equations in two variables,E
3a3b95df,84994068-0631-49ef-ae80-b174172efcd3,Algebra,Linear functions,E
1b1deebe,ab4fb25b-f569-45af-8536-c3264af6ff16,Algebra,Systems of two linear equations in two variables,H
187f74bc,1d304c65-24af-42b6-8e40-4d50c7613f47,Algebra,Linear inequalities in one or two variables,H
ee846db7,0b8822c0-8322-4969-8780-d3d067076d46,Algebra,Linear equations in two variables,E
baca4a4c,f2ee68d6-91e0-4510-a278-ad0aa7e1153c,Algebra,Linear equations in one variable,E
5b8a8475,451c1b50-026a-4bad-96b2-c090526934bf,Algebra,Linear equations in two variables,E
cfe67646,deb03694-cf78-40ff-a84f-f782eba08ba4,Algebra,Linear inequalities in one or two variables,E
608eeb6e,632affe2-9dad-466c-b099-d98aa7c13b20,Algebra,Systems of two linear equations in two variables,E
be9cb6a2,d70b4faa-5ce1-4664-ae31-432dc125273a,Algebra,Linear functions,H
097e10f5,c57e37c9-32b5-4879-b56c-ae8aec1a46fc,Algebra,Linear equations in one variable,E
1a1a95de,43b52d01-006d-4dbc-b7a8-3187b73ccbce,Algebra,Linear equations in two variables,H
84664a7c,015564-DC,Algebra,Linear functions,E
e62cfe5f,070611-DC,Algebra,Linear functions,M
b0fc3166,950dd818-fa5e-4231-b816-a13da78257e9,Algebra,Systems of two linear equations in two variables,E
9b886541,8076db82-ac6c-4ac2-a6b7-46a9a4b4059b,Algebra,Linear equations in one variable,E
465c73ad,c33a8ce0-debc-4709-b0d7-3f1800613186,Algebra,Linear equations in one variable,E
db422e7f,6e2c4ed8-a7d5-4552-bdd7-42223af298ea,Algebra,Linear equations in two variables,H
590f2187,7ea2442b-48e4-447b-a75d-c1614b613123,Algebra,Linear equations in one variable,E
01682aa5,ab826e08-7891-4957-94db-0152ef740dff,Algebra,Linear equations in two variables,M
9b0a4eae,4d7cd4c5-d45b-40fb-8391-76021972ba43,Algebra,Linear equations in two variables,M
7fac16fb,3e4d926d-83f1-4d65-87c3-c5889ee7bfa4,Algebra,Linear functions,E
f2b63f49,55b379da-d6e2-4c9e-857d-8da822c1d1fa,Algebra,Linear equations in one variable,E
45cfb9de,09274-DC,Algebra,Linear inequalities in one or two variables,H
06fc1726,08176-DC,Algebra,Linear functions,E
05417146,208ae094-8f06-4329-9993-51169b92549f,Algebra,Linear equations in one variable,E
e3cf671f,0d590b1e-c165-452b-bd68-2c7ae4a0a55d,Algebra,Linear functions,M
571174f3,f55f83d0-fd97-488f-9f5c-014bc1e34d9c,Algebra,Systems of two linear equations in two variables,H
e723bd67,f945d185-c981-4580-acc0-7976d9988dbb,Algebra,Linear inequalities in one or two variables,M
6863c7ce,a58102d0-5605-4f3b-91b2-44ba46a14ee3,Algebra,Linear functions,E
979c6ebc,5c0525ca-3f74-406b-82bd-232050622e14,Algebra,Systems of two linear equations in two variables,H
51aabd93,bcd38cac-e6c1-411f-ae0b-50e4ae48adc1,Algebra,Linear equations in one variable,E
a5834ea4,513fd8bd-86d1-4102-aea1-0a8bc65de5dd,Algebra,Linear functions,M
f14484a5,0d482312-5261-43da-8a42-d4ab593d0949,Algebra,Linear equations in one variable,H
b52e5b6f,db170278-9037-413e-b5e2-ed81bbf21899,Algebra,Linear equations in two variables,E
0b332f00,fa992b50-1873-43ba-8b60-8c6d6bdc7bcc,Algebra,Linear functions,E
349a5bc1,0aa2936b-88d9-4e8d-a776-486d5d1f93ba,Algebra,Linear equations in one variable,E
c10ad793,72165a25-0c05-4d08-b575-bdacc4a3d7fe,Algebra,Linear functions,E
bf4a8b6a,f02c7424-034b-4774-b41c-847249027a2e,Algebra,Systems of two linear equations in two variables,M
0451d754,ac7b345b-6b45-4f69-945c-5e7e16ca8909,Algebra,Linear equations in two variables,M
797a81fb,7f109a34-c477-4f2b-9704-3ccd5306ad84,Algebra,Systems of two linear equations in two variables,H
4f1342d6,e07c6477-a704-4fb6-8142-4f45390607dc,Algebra,Systems of two linear equations in two variables,H
7e3f8363,f44d3920-a7ed-4c31-815c-11dbfe887d43,Algebra,Linear functions,M
cdec4c87,d9637287-6236-4171-8284-30cfa0ba9e23,Algebra,Systems of two linear equations in two variables,E
d11910d6,c300a207-fa7b-4c25-876b-37c0579a9bff,Algebra,Linear functions,E
0eae6be1,2050beca-5f4f-41a5-92ca-3fcf29a6cc77,Algebra,Linear functions,E
361f97c7,bd9c2702-bba2-4f95-a9c2-d109cfd98cc1,Algebra,Linear functions,E
